IDF,Enumerator,studyID,firstAuthor,otherAuthors,year,title,journal,journalVolume,journalPages,country,site,lat.deg,lat.min,lat.sec,lat.NS,lon.deg,lon.min,lon.sec,lon.EW,lat,lon,elevation,annualRainfall,seasonRainfall,rainfall1,rainfall2,rainfall3,rainfall4,rainfall5,rainfall6,rainfall7,rainfall8,rainfall9,rainfall10,rainfall11,rainfall12,rainfall13,rainfall14,rainfall15,rainfall16,annualMinTemp,annualMaxTemp,FAO_majorSoilClass,USDA_soilType,Other_SoilClass,pH,SOC,totN,OlsenP,Bray.IP,Bray.IIP,MehlichP,totalP,exchK,exchKCaMg,exchAl,exchAc,percSand,percSilt,percClay,yearPlanted,monthPlanted,nrMonthsHarvest,varietyType,varietyName,BranchingErect,management,trialType,targetPlantStand,withinRow,betweenRow,FallowDuration,PrecedingCrop,landClearing,vegetation,tillage,tillageImplement,mulching,mulchingDetails,plantingStructures,plantingStickLength,plantingStickMotherPart,plantingStickOrientation,plantingdepth,waterRegime,fertilizer,Nrate,Prate,Krate,fertilizer1,fertilizer2,fertilizer3,fertilizer4,fertilizer5,fertilizer1MAP,fertilizer2MAP,fertilizer3MAP,fertilizer4MAP,fertilizer5MAP,fertilizer1split,fertilizer2split,fertilizer3split,fertilizer4split,fertilizer5split,fertilizer1method,fertilizer2method,fertilizer3method,fertilizer4method,fertilizer5method,OrganicFertilizer,OrganicFertType,OrganicFertAmount,NcontOrgFert,PcontOrgFert,KcontOrgFert,NrateOrgFert,PrateOrgFert,KrateOrgFert,OrgFertAppWAP,Lime,nyears,nsites,nreps,rootYbasis,rootY1,rootY2,rootY3,rootY4,rootY_Vdes1,RootY_Vfac1,rootY_Vval1,rootY_Vdes2,rootY_Vfac2,rootY_Vval2,rootY_Vdes3,rootY_Vfac3,rootY_Vval3,rootY_Vdes4,rootY_Vfac4,rootY_Vval4,percDMroots1,percDMroots2,percDMroots3,percDMroots4,percDMroots_Vdes1,percDMroots_Vfac1,percDMroots_Vval1,percDMroots_Vdes2,percDMroots_Vfac2,percDMroots_Vval2,percDMroots_Vdes3,percDMroots_Vfac3,percDMroots_Vval3,percDMroots_Vdes4,percDMroots_Vfac4,percDMroots_Vval4,percStarchBasis,percStarch1,percStarch2,percStarch3,percStarch4,percStarch_Vdes1,percStarch_Vfac1,percStarch_Vval1,percStarch_Vdes2,percStarch_Vfac2,percStarch_Vval2,percStarch_Vdes3,percStarch_Vfac3,percStarch_Vval3,percStarch_Vdes4,percStarch_Vfac4,percStarch_Vval4,intercropped,Relay.crop.after.maize,maizeVariety,maizePlanting,maizeDaysToMaturity,maizeDaysToHarvest,maizePopulation,maizeWithinRow,maizeBetweenRow,plants.hill,intercropRowArrangement,betweenMaizeCassavaRow,maizeYield1,maizeYield2,maizeYield3,maizeYield4,maizeYield_Vdes1,maizeYield_Vfac1,maizeYield_Vval1,maizeYield_Vdes2,maizeYield_Vfac2,maizeYield_Vval2,maizeYield_Vdes3,maizeYield_Vfac3,maizeYield_Vval3,maizeYield_Vdes4,maizeYield_Vfac4,maizeYield_Vval4,Key,region
1,PP,1,"Fermont, AM",NA,2009,Closing the cassava yield gap: An analysis from smallholder farms in East Africa,Field Crop Res,112,24-36,Kenya,Kwang'amor,0,29,0,N,34,14,0,E,0.48333,34.23333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2004, 2005",NA,11.5-13.0,local,landraces,NA,farmer,on-farm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rainfed,no,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,1,fresh,7.9,NA,NA,NA,SED,NA,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,East Africa
1,PP,1,"Fermont, AM",NA,2009,Response of cassava to water shortage. I. Growth and yield,Field Crop Res,112,24-36,Kenya,Mungatsi,0,27,0,N,34,18,0,E,0.45,34.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2004, 2005",NA,11.5-13.0,local,landraces,NA,farmer,on-farm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rainfed,no,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,1,fresh,6.4,NA,NA,NA,SED,NA,2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Latin America and Caribbean
1,PP,1,"Fermont, AM",NA,2009,Genetic variation within cassava germplasm in response to potassium,Field Crop Res,112,24-36,Kenya,Nambale,0,28,0,N,34,14,0,E,0.46667,34.23333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2004, 2005",NA,11.5-13.0,local,landraces,NA,farmer,on-farm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rainfed,no,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fresh,NA,NA,NA,NA,SED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Latin America and Caribbean
1,PP,1,"Fermont, AM",NA,2009,"Effects of tillage practices on growth and yield of cassava (Manihot esculenta Crantz) and some soil properties in Ibadan, Southwestern Nigeria",Field Crop Res,112,24-36,Kenya,Ugunja,0,10,0,N,34,18,0,E,0.16667,34.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2004, 2005",NA,11.5-13.0,local,landraces,NA,farmer,on-farm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rainfed,no,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,1,fresh,6.1,NA,NA,NA,SED,NA,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Sub-Saharan Africa
1,PP,1,"Fermont, AM",NA,2009,Intercropping maize with cassava or cowpea in Ghana,Field Crop Res,112,24-36,Kenya,KARI,0,30,0,N,34,8,0,E,0.5,34.13333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2004, 2005",NA,12.0-15.0,local,landraces,NA,researcher,on-station,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rainfed,no,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fresh,NA,NA,NA,NA,SED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Sub-Saharan Africa
1,PP,1,"Fermont, AM",NA,2009,"Relationship of tuber yield, starch content and starch yield of cassava with potassium status of fertilizer, soil and leaf",Field Crop Res,112,24-36,Uganda,Minani,0,80,0,N,33,57,0,E,1.33333,33.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2004, 2005",NA,11.5-13.0,local,landraces,NA,farmer,on-farm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rainfed,no,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fresh,NA,NA,NA,NA,SED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Asia and Oceania
1,PP,1,"Fermont, AM",NA,2009,Evaluation of promising clones of cassava for high root yield and ethanol conversion in different locations in Indonesia,Field Crop Res,112,24-36,Uganda,Kisiro,0,67,0,N,33,80,0,E,1.11667,34.33333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2004, 2005",NA,11.5-13.0,local,landraces,NA,farmer,on-farm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rainfed,no,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,1,fresh,8.3,NA,NA,NA,SED,NA,2.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Asia and Oceania
1,PP,1,"Fermont, AM",NA,2009,"Recent progress in cassava breeding and cultural practices in the department of agriculture, Thailand",Field Crop Res,112,24-36,Uganda,Kikooba,1,40,0,N,32,38,0,E,1.66667,32.63333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2004, 2005",NA,11.5-13.0,local,landraces,NA,farmer,on-farm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rainfed,no,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,1,fresh,11.2,NA,NA,NA,SED,NA,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Asia and Oceania
1,PP,1,"Fermont, AM",NA,2009,"Cassava breeding, agronomy research and technology transfer in Asia",Field Crop Res,112,24-36,Uganda,Chelekura,1,14,0,N,33,62,0,E,1.23333,34.03333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2004, 2005",NA,11.5-13.0,local,landraces,NA,farmer,on-farm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rainfed,no,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,1,fresh,11.7,NA,NA,NA,SED,NA,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Asia and Oceania
1,PP,1,"Fermont, AM",NA,2009,"Chapter I: Effect of nitrogen (N), phosphorus (P), and potassium (K) fertilizer rates on cassava tuber yield in the coastal semiarid Dondo district of Mozambique",Field Crop Res,112,24-36,Uganda,NaCRRI,0,32,0,N,32,37,0,E,0.53333,32.61667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2004, 2005",NA,12.0-15.0,local,landraces,NA,researcher,on-station,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rainfed,no,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fresh,NA,NA,NA,NA,SED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Sub-Saharan Africa
